YEAR,TITLE,SUBGENRE,DIRECTOR,RANKING,PLOT SUMMARY
1927,London After Midnight,Psychological,Tod Browning,17,"Roger Balfour is found dead in his London home one night. Burke, a representative of Scotland Yard, after questioning everyone present, declares the death a suicide despite objection from Balfour's neighbour and close friend, Sir James Hamlin.

Five years later, the Hamlin residents witness strange lights within the now-forsaken Balfour mansion before realising the new tenants to be two vampiric figures of a man in a Beaver-skin top hat with long hair and sharp teeth, and a silent pale woman wearing long robes. This prompts the baronet, Sir James, to call Burke in once again who discovers that Hamlin and the others there (Balfour's daughter, Lucille, his butler, Williams, and Hamlin's nephew, Arthur Hibbs) had been the only other persons in the Balfour home when he died. After noticing the new lease to the Balfour mansion bears the exact same signature as the deceased Roger Balfour's, Burke remains skeptical about the existence of the undead, and, along with Sir James, exhumes Roger Balfour's tomb to find it empty. After a series of grisly events; from the maid Miss Smithson's eccentric recollection of encountering the Man in the Beaver Hat manifesting in a bedroom, to the vampire girl flying down like a bat from the ceiling of the Balfour mansion, and witnessing the living corpse of Roger Balfour, Burke reveals to Lucille that he believes her father to have been murdered.

After taking the precaution to protect Lucille's bedroom from vampires, the girl is taken to the Balfour mansion. As Sir James is instructed to venture to the mansion, he encounters the Man in the Beaver Hat (revealed to be Burke) and is hypnotised into thinking it is five-years-earlier. Within the mansion, the events leading up to Balfour's death are recreated and re-enacted and all secretly watch as Sir James kills Roger Balfour and fakes his suicide so as to ultimately marry his daughter Lucille, against the deceased's will. Once apprehended, Burke lifts the trance and identifies Sir James as the killer."
1927,The Unknown,Psychological,Tod Browning,24,"Alonzo the Armless is a circus freak who uses his feet to toss knives and fire a rifle at his partner, Nanon. However, he is an impostor and fugitive. He has arms, but keeps them tightly bound to his torso, a secret known only to his friend Cojo, a little person. Alonzo's left hand has a double thumb, which would identify him as the perpetrator of various crimes.

Alonzo is secretly in love with Nanon. Malabar, the circus strongman, is devoted to her as well, but she has a strong fear of men's arms and cannot stand being pawed by them, so she shuns him. She only feels comfortable around the armless Alonzo. When she embraces and kisses him, he is given hope, but Cojo warns him that he cannot let it happen again. If she holds him, she might feel his arms.

When Antonio Zanzi, the circus's owner and Nanon's father, discovers Alonzo's secret, Alonzo kills him with his bare hands. Nanon witnesses this through a window. A flash of lightning reveals that her father's killer has a double thumb on his left hand, but she does not see his face. Since Alonzo is believed to be armless, he is not a suspect.

When the circus leaves town, Alonzo has Nanon remain behind with him. He takes extreme measures to try to have the woman he loves. He blackmails a surgeon into amputating his arms. While he is away, however, Malabar's steadfast love finally enables Nanon to overcome her phobia, and she agrees to marry him.

When Alonzo (now truly armless) returns to Nanon, she excitedly tells him the news. Alonzo is shocked and horrified, first laughing, then crying, confusing the couple. He then learns that Malabar and Nanon have been practicing a new act, where the strongman's arms are seemingly pulled in opposite directions by two horses (who are actually on hidden treadmills). During the first performance, Alonzo stops one treadmill in an attempt to maim or kill his rival. When Nanon starts to intervene, Alonzo threatens her with a knife. However, she rushes to calm down one of the horses. Alonzo tries to save her from injury by pushing her out of the way. The horse knocks Alonzo down and fatally stomps on him.

In the original film script and some discarded filmed sequences, Alonzo murders both the doctor and Cojo, to eliminate them as witnesses before he returns to claim Nanon."
1928,The Terror,Killer,Roy Del Ruth,10,"""The Terror"", a killer whose identity is unknown, occupies an English country house that has been converted into an inn. Guests, including the spiritualist Mrs. Elvery and detective Ferdinand Fane, are frightened by strange noises and mysterious organ music. Connors and Marks, two men just released from jail, have sworn revenge upon ""The Terror"". Following a night of mayhem that includes murder, the identity of ""The Terror"" is revealed."
1931,Frankenstein,Monster,James Whale,3,"Frankenstein begins with Edward Van Sloan stepping from behind a curtain to break the fourth wall and deliver a brief caution to the audience:

How do you do? Mr. Carl Laemmle feels it would be a little unkind to present this picture without just a word of friendly warning: We are about to unfold the story of Frankenstein, a man of science who sought to create a man after his own image without reckoning upon God. It is one of the strangest tales ever told. It deals with the two great mysteries of creation; life and death. I think it will thrill you. It may shock you. It might even horrify you. So, if any of you feel that you do not care to subject your nerves to such a strain, now's your chance to uh, well,––we warned you.

In a village of the Bavarian Alps, Henry Frankenstein and his assistant Fritz, a hunchback, piece together a human body. Some of the parts are from freshly buried bodies, and some from the bodies of recently hanged criminals. In a laboratory he's built inside a watchtower, Henry desires to create a human, giving this body life through electrical devices. He still needs a brain for his creation. At a nearby school, Henry's former teacher Dr. Waldman shows his class the brain of an average human being and the corrupted brain of a criminal for comparison. Henry sends Fritz to steal the healthy brain from Waldman's class. Fritz accidentally damages it, and so brings Henry the corrupt brain.

Henry's fiancée Elizabeth speaks with their friend Victor about the scientist's peculiar actions and his seclusion. Elizabeth and Victor ask Waldman for help understanding Henry's behavior, and Waldman reveals he is aware Henry wishes to create life. Concerned for Henry, they arrive at the lab just as he makes his final preparations, the lifeless body on an operating table. As a storm rages, Henry invites Elizabeth and the others to watch. Henry and Fritz raise the operating table toward an opening at the top of the tower. The creature and Henry's equipment are exposed to the lightning storm and empowered, bringing the creature to life.

Frankenstein's Monster, despite its grotesque form, seems to be an innocent, childlike creation. Henry welcomes it into his laboratory and asks it to sit, which it does. He opens up the roof, causing the Monster to reach out towards the sunlight. Fritz enters with a flaming torch, which frightens the Monster. Its fright is mistaken by Henry and Waldman for an attempt to attack them, and it is chained in the dungeon, where Fritz antagonizes it with a torch. Hearing Fritz shriek in the dungeon, Henry and Waldman run down, finding that the Monster has strangled and hanged Fritz. The Monster lunges at the two but they lock the Monster inside. Realizing the Monster must be destroyed, Henry prepares an injection of a powerful drug and the two conspire to release the Monster and inject it as it attacks. When the door is unlocked the Monster lunges at Henry as Waldman injects the drug into the Monster's back. The Monster falls to the floor unconscious.

Henry collapses from exhaustion, and Elizabeth and Henry's father take him home. Henry is worried about the Monster, but Waldman reassures him that he will destroy it. While Henry is at home, recovered and preparing for his wedding, Waldman examines the Monster. As he prepares to vivisect it, the Monster strangles him. It escapes from the tower and wanders through the landscape, encountering a farmer's young daughter, Maria. She asks him to play a game with her in which they toss flowers onto a lake. The Monster enjoys the game, but when they run out of flowers he throws Maria into the lake, where she disappears beneath the surface. The Monster runs away.

With preparations for the wedding completed, Henry is happy with Elizabeth. They are to marry as soon as Waldman arrives. Victor rushes in, saying that Waldman has been found strangled. Henry suspects the Monster. The Monster enters Elizabeth's room, causing her to scream. When the searchers arrive, they find Elizabeth unconscious. The Monster has escaped.

Maria's father arrives, carrying his drowned daughter's body. He says she was murdered, and the villagers form a search party to capture the Monster. During the search, Henry is attacked by the Monster. The Monster knocks Henry unconscious and carries him to an old mill. The peasants hear his cries and find the Monster has climbed to the top, dragging Henry with him. The Monster hurls the scientist to the ground. His fall is broken by the vanes of the windmill, saving his life. Some of the villagers bring him home while the rest of the mob set the windmill ablaze, with the Monster trapped inside.

At Castle Frankenstein, Henry's father celebrates the wedding of his recovered son with a toast to a future grandchild."
1931,Dracula,Gothic,Tod Browning,8,"Renfield is a solicitor traveling to Count Dracula's castle in Transylvania on a business matter. The local village people fear that vampires inhabit the castle and warn Renfield not to go there. Renfield refuses to stay at the village inn and asks his carriage driver to take him to the Borgo Pass. Renfield is driven to the castle by Dracula's coach, with Dracula disguised as the driver. En route, Renfield sticks his head out the window to ask the driver to slow down but sees the driver has disappeared; a bat leads the horses.

Renfield enters the castle welcomed by the charming but eccentric Count, who, unbeknownst to Renfield, is a vampire. They discuss Dracula's intention to lease Carfax Abbey in England, where he intends to travel the next day. Dracula hypnotizes Renfield into opening a window. Renfield faints as a bat appears, and Dracula's three wives close in on him. Dracula waves them away, then attacks Renfield himself.

Aboard the schooner Vesta, Renfield is a raving lunatic slave to Dracula, who hides in a coffin and feeds on the ship's crew. When the ship reaches England, Renfield is discovered to be the only living person. Renfield is sent to Dr. Seward's sanatorium adjoining Carfax Abbey.

At a London theatre, Dracula meets Seward. Seward introduces his daughter Mina, her fiancé John Harker, and a family friend, Lucy Weston. Lucy is fascinated by Count Dracula. That night, Dracula enters her room and feasts on her blood while she sleeps. Lucy dies the next day after a string of blood transfusions.

Renfield is obsessed with eating flies and spiders. Professor Van Helsing analyzes Renfield's blood and discovers his obsession. He starts talking about vampires, and that afternoon Renfield begs Seward to send him away, claiming his nightly cries may disturb Mina's dreams. When Dracula calls Renfield through the medium of a wolf howling, Renfield is disturbed by Van Helsing showing him wolfsbane, which Van Helsing says is used for protection from vampires.

Dracula visits Mina, asleep in her bedroom, and bites her. The next evening, Dracula enters for a visit, and Van Helsing and Harker notice that he does not have a mirror reflection. When Van Helsing reveals this to Dracula, he smashes the mirror and leaves. Van Helsing deduces that Dracula is the vampire behind the recent tragedies.

Mina leaves her room and runs to Dracula in the garden, where he attacks her. The maid finds her. Newspapers report that a woman in white is luring children from the park and biting them. Mina recognizes the lady as Lucy, risen as a vampire. Harker wants to take Mina to London for safety but is convinced to leave Mina with Van Helsing. Van Helsing orders Nurse Briggs to take care of Mina when she sleeps and not to remove the wreath of wolfsbane from her neck.

Renfield escapes from his cell and listens to the men discussing vampires. Before his attendant takes Renfield back to his cell, Renfield relates to them how Dracula convinced Renfield to allow him to enter the sanatorium by promising him thousands of rats full of blood and life. Dracula enters the Seward parlor and talks with Van Helsing. Dracula states that Mina now belongs to him and warns Van Helsing to return to his home country. Van Helsing swears to excavate Carfax Abbey and destroy Dracula. Dracula attempts to hypnotize Van Helsing, but the latter's resolve proves stronger. As Dracula lunges at Van Helsing, he draws a crucifix from his coat, forcing Dracula to retreat.

Harker visits Mina on a terrace, and she speaks of how much she loves ""nights and fogs."" A bat flies above them and squeaks to Mina. She then attacks Harker, but Van Helsing and Seward save him. Mina confesses what Dracula has done to her and tells Harker their love is finished.

Dracula hypnotizes Briggs into removing the wolfsbane from Mina's neck and opening the windows. Van Helsing and Harker see Renfield heading for Carfax Abbey. They see Dracula with Mina in the Abbey. When Harker shouts to Mina, Dracula thinks Renfield has led them there and kills him. Dracula is hunted by Van Helsing and Harker, who know that Dracula is forced to sleep in his coffin during daylight, and the sun is rising. Van Helsing prepares a wooden stake while Harker searches for Mina. Van Helsing impales Dracula through the heart, killing him, and Mina returns to normal."
1931,Dr. Jekyll and Mr. Hyde,Science fiction,Rouben Mamoulian,14,"Dr. Henry Jekyll (Fredric March), a kind English doctor in Victorian London, is certain that within each man lurks impulses for both good and evil. He is desperately in love with his fiancée Muriel Carew (Rose Hobart) and wants to marry her immediately. But her father, Brigadier General Sir Danvers Carew (Halliwell Hobbes), orders them to wait. One night, while walking home with his colleague, Dr. John Lanyon (Holmes Herbert), Jekyll spots a bar singer, Ivy Pierson (Miriam Hopkins), being attacked by a man outside her boarding house. Jekyll drives the man away and carries Ivy up to her room to attend to her. Ivy tries to seduce Jekyll but, though he is tempted, he leaves with Lanyon.

When Sir Danvers takes Muriel to Bath, Jekyll begins to experiment with drugs that he believes will unleash his evil side. After imbibing a concoction of these drugs, he transforms into Edward Hyde—an impulsive, violent, amoral man who indulges his every desire. Hyde finds Ivy in the music hall where she works. He offers to financially support her in return for her company. They stay at her boarding house where Hyde sexually abuses and psychologically manipulates her. When Hyde reads in the paper that Sir Danvers and Muriel are planning to return to London, Hyde leaves Ivy but threatens her that he'll return when she least expects it.

Overcome with guilt, Jekyll sends £50 to Ivy. On the advice of her landlady, Ivy goes to see Dr. Jekyll and recognizes him as the man who saved her from abuse that night. She tearfully tells him about her situation with Hyde, and Jekyll reassures her that she will never see Hyde again. But the next night, while walking to a party at Muriel's where the wedding date is to be announced, Jekyll spontaneously changes into Hyde. Rather than attend the party, Hyde goes to Ivy's room and murders her.

Hyde returns to Jekyll's house but is refused admission by the butler. Desperate, Hyde writes a letter to Lanyon instructing him to take certain chemicals from Jekyll's laboratory and take them home. When Hyde arrives, Lanyon pulls a gun on him and demands that Hyde take him to Jekyll. With no other choice, Hyde drinks the formula and changes back into Jekyll before a shocked Lanyon.

Aware that he cannot control the transformations, Jekyll goes to the Carew home and breaks off the engagement. After he leaves, he stands on the terrace and watches Muriel cry. This triggers another transformation and, as Hyde, he enters the house and assaults Muriel. Sir Danvers tries to stop him, but Hyde beats him to death with Jekyll's walking stick then flees back to Jekyll's laboratory where he takes the formula again and reverts to Jekyll.

Lanyon recognizes the broken cane left at the crime scene and takes the police to Jekyll's home. Jekyll tells them that Hyde has already left, Lanyon insists that Jekyll and Hyde are one and the same. The stress causes another transformation into Hyde and, after a fierce struggle, Hyde is shot by the police. Dying, he transforms back into Jekyll."
1932,Kongo,Killer,William J. Cowen,13,"""Deadlegs"" Flint, an embittered paraplegic living in the Congo, controls local natives by dispensing to them small quantities of sugar and liquor (sometimes substituting the latter with kerosene). He also astonishes and frightens the natives by performing staged magic tricks, which create the illusion that he has supernatural powers. Assisting him with those tricks are his fiancé Tula, two thugs—Hogan and Cookie—and a loyal native, Fuzzy. Flint has spent the last 18 years plotting revenge against Gregg, a man who had crushed his spine in a fight before he ran away with Flint's wife. The crippled man since then has built an ""80-mile circle"" around his jungle compound, an area patroled by his henchmen and where no one can enter or leave without Flint's consent. As part of his revenge plan, he also arranged years ago to have the infant daughter of Gregg and his former wife raised by nuns to be ""clean in body and mind"" within the safety and seclusion of a convent in Cape Town. Flint sends his man Hogan there to bring the daughter, Ann, to him. In Cape Town, Hogan disguises himself as a missionary and convinces Ann, now a young woman, to go with him to see her father Gregg.

By the time Ann arrives at Flint's compound, she has become a hardened alcoholic after being confined for months in a brothel in Zanzibar and forced to work as a prostitute. She continues to be held captive at the Kongo camp and does Flint's bidding for the daily servings of brandy he allows her to have. Each day too he takes sadistic delight in degrading and physically abusing the daughter of his archenemy. Later, a cynical, drug-addicted doctor named Kingsland arrives, and soon he and Ann fall in love. Flint needs Kingsland to be sober to operate on him to relieve the constant pain caused by his paralysis. To hasten his sobriety, Flint has the doctor bound with ropes, taken to the nearby swamp, and placed up to his neck in the leech-infested water so the parasites can suck the drugs or ""poisons"" out of his system. Flint also tolerates Ann's relationship with Kingsland because of its purifying effect on the doctor; nevertheless, he continues to ridicule her.

After Kingsland operates on Flint, Gregg arrives at the camp, summoned by Flint, who has stolen shipments of ivory from him. Flint hopes to have the ultimate revenge against Gregg by showing him his degraded daughter, having him killed, and then having Ann sacrificed as part of the natives' funeral ritual. Flint taunts Gregg until Gregg finally recognizes him as the person he once knew as Rutledge. The crippled man reminds him about running away with his wife after kicking Flint in the back and causing his paralysis. Flint then reveals how he has abused Gregg's daughter as part of his revenge plot, but Gregg proves that Ann is actually Flint's own daughter. Flint is stunned. After this revelation, Flint begs Gregg not to leave the compound or he will be killed by Fuzzy, who is patrolling the surrounding jungle and under orders to shoot Gregg if he sees him. Gregg ignores his old enemy's warning, departs, and Fuzzy kills him.

Now desperate to save Ann from the natives' sacrificial fire, Flint has Fuzzy guide her, Kingsland, Tula, and Cookie through an escape tunnel to the swamp. Flint remains behind and dies trying to keep angry natives at bay. Just before he is killed, he desperately prays that Ann will get away safely with Kingsland. Some time later, Flint's pet chimpanzee is shown finding the crippled man's necklace within the ashes of a pyre. Meanwhile, Ann and Kingsland are aboard a riverboat sailing downriver. As the couple waits to be married by the boat's captain, the film ends with Kingsland describing to her their destination, his small home in Sicily."
1932,Mummy,Monster,Karl Freund,14,"In 1921, an archaeological expedition led by Sir Joseph Whemple (Arthur Byron) finds the mummy of an ancient Egyptian high priest named Imhotep (Boris Karloff). An inspection of the mummy by Whemple's friend Dr. Muller (Edward Van Sloan) reveals that the viscera were not removed, and from the signs of struggling Muller deduces that although Imhotep had been wrapped like a traditional mummy, he had been buried alive. Also buried with Imhotep is a casket with a curse on it. Despite Muller's warning, Sir Joseph's assistant Ralph Norton (Bramwell Fletcher) opens it and finds an ancient life-giving scroll, the ""Scroll of Thoth"". He translates the symbols and then reads the words aloud. Imhotep rises, the sight of which snaps Norton's mind and causes him to laugh hysterically, as the Mummy shuffles off with the scroll.

Ten years later, Imhotep has assimilated into a mysterious Egyptian historian named Ardeth Bey. He calls upon Sir Joseph's son Frank (David Manners) and Professor Pearson (Leonard Mudie) and shows them where to dig to find the tomb of the princess Anck-su-namun. After locating the tomb, the archaeologists present its treasures to the Cairo Museum and Ardeth Bey disappears.

Ardath soon encounters Helen Grosvenor (Zita Johann), a half-Egyptian woman bearing a striking resemblance to the princess. He reveals to her that his horrific death was punishment for sacrilege: attempting to resurrect his forbidden lover, Princess Anck-su-namun. Believing her to be Anck-su-namun's reincarnation, he attempts to kill her, with the intention of mummifying her, resurrecting her, and finally making her his immortal bride. Helen is rescued when she remembers her ancestral past life and prays to the goddess Isis to come to her aid. The statue of Isis raises its arm and emits a flash that sets the Scroll of Thoth on fire. This breaks the spell that had given Imhotep his immortality, causing him to crumble to dust. At the urging of Dr. Muller, Frank calls Helen back to the world of the living while the Scroll of Thoth continues to burn."
1932,The Old Dark House,Horror comedy,James Whale,39,"Philip Waverton, his wife Margaret and their friend Roger Penderel are lost while driving at night in a heavy storm. They come upon an old house in the Welsh countryside where they receive shelter by Horace Femm and his sister Rebecca. Horace fears that the storm will trap the guests inside. He also warns them that their mute butler Morgan is a dangerous, heavy drinker. As Rebecca escorts Margaret to a bedroom to change clothes, she tells her about the Femm family, which Rebecca says was sinful and godless. She accuses Margaret of being sinful as well. Rebecca reveals that her 102-year-old father, Sir Roderick Femm, still lives in the house.

During dinner, the group are joined by Sir William Porterhouse and a chorus girl with the stage name Gladys DuCane, who also seek refuge from the storm. As the group chats by the fireplace, Gladys reveals her real last name is Perkins. Roger and Gladys go to retrieve some whiskey from his car. The electric lights go out and Rebecca tells Horace to get a lamp from an upstairs landing. Horace is afraid to go upstairs, so Philip goes instead. As he fetches the lamp, he notices a locked room and hears a voice coming from another room. William goes to help Rebecca close a window, leaving Margaret alone. Morgan, now drunk, attacks her and chases her up the stairs to Philip, who is coming down with the lamp. Philip throws the lamp at Morgan, knocking him down the stairs.

Roger and Gladys begin flirting while they drink and smoke. Gladys says her relationship with William is platonic, and suggests she should live with Roger instead. They go back to the house, where they wake up William and tell him about their new romance. Meanwhile, Philip and Margaret go into the room where he heard the voice; they find Roderick Femm there. He warns them about his eldest son, Saul, a crazed pyromaniac kept in the locked room. Philip and Margaret discover that Morgan has let Saul out; they go downstairs to warn the other guests. Morgan comes downstairs and charges at Margaret. Philip and William drag Morgan into the kitchen while Rebecca flees to her bedroom. Roger tells Margaret and Gladys to hide in a closet. Saul comes downstairs and knocks Roger out. Saul steals a burning branch from the fireplace and sets fire to a curtain before Roger awakes. They fight and fall off a landing; Saul is killed and Roger injured. Morgan breaks out of the kitchen and returns to the main room. He frees Margaret and Gladys from the closet before taking Saul's body upstairs.

By morning, the storm has subsided. Saul's attempt at burning the house has caused little damage. Philip and Margaret leave to get an ambulance, while Gladys and William stay behind to tend to Roger's injuries. Upon awakening, Roger asks Gladys to marry him, and she happily kisses him in response."
1932,Island of Lost Souls,Science fiction,Erle C. Kenton,45,"Shipwrecked traveler Edward Parker (Richard Arlen) is rescued by a freighter delivering animals to an isolated South Seas island owned by Dr. Moreau (Charles Laughton). After Parker fights with the freighter's drunken captain (Stanley Fields) for his mistreating M'ling (Tetsu Komai), an odd-looking passenger with some bestial features, the captain tosses Parker overboard into Mr. Montgomery's (Arthur Hohl) boat, bound for Moreau's island .

When Parker arrives at the island, Moreau welcomes Parker to his home and introduces him to Lota (Kathleen Burke), an attractive, but somewhat odd, scantily-clad young woman who seems fearful and withdrawn. When the two hear screams coming from a locked room, which Lota calls ""the House of Pain,"" Parker investigates. He sees Moreau and assistant, Montgomery, operating on a man-like creature without anesthetic. Convinced that Moreau is engaged in sadistic vivisection, Parker tries to leave, only to encounter brutish-looking humanoids resembling apes, felines, swine, and other beasts emerging from the jungle. Moreau appears, cracks his whip, and orders the one known as the Sayer of the Law (Bela Lugosi), a hairy wolf-like man, to recite the rules against violence (The Law). Afterward, the strange ""men"" disperse.

Back in the main house, the doctor tries to assuage Parker by explaining his scientific work -- that he started experimenting in London many years before, accelerating the evolution of plants. He then progressed to animals, trying to transform them into humans through ""plastic surgery, blood transfusions, gland extracts, and ray baths"". When a dog-hybrid escaped from his laboratory it so horrified people that he was forced to leave England.

He confides to Parker that Lota is the sole female on the island, but hides that she was derived from a panther. Later he privately expresses his excitement to Montgomery that Lota is showing real human emotions in her attraction to Parker. So he can keep observing this process, Moreau ensures that Parker cannot leave by destroying the only available boat, placing blame for this on his beast-men.

As Parker spends time with Lota, she falls in love with him. Eventually the two kiss, but Parker is then stricken with guilt, since he still loves his fiancée, Ruth Thomas (Leila Hyams). As Lota hugs him, Parker feels pain then examines her fingernails, which are reverting to animal-like claws. In a fit of rage, he storms into the office of Dr. Moreau to confront him over his criminal behavior in creating Lota. Dr. Moreau calmly explains that Lota is his most perfect creation, and he wanted to see if she was capable of falling in love with a man and bearing human-like children. Parker violently knocks Moreau to the ground, and demands to leave the island. When Moreau realizes Lota is beginning to revert to her panther origin, he first despairs, believing that he has failed – until he notices Lota weeping, showing human emotion. His hopes are raised and he screams that he will ""burn out"" the remaining animal in her in the House of Pain.

Meanwhile, the American consul (George Irving) at Apia in Samoa, Parker's original destination, learns about Parker's location from the cowed freighter captain. Fiancée Ruth Thomas persuades Captain Donahue (Paul Hurst) to take her to Moreau's island. She is reunited with Parker, but Moreau persuades them that it is too dangerous in the dark to return to Donahue's ship through the beast-inhabited jungle. They reluctantly agree to stay the night. The apelike Ouran, one of Moreau's creations, tries to break into Ruth's room. (It is implied that this may have been arranged by Moreau, curious if his beast-men can successfully mate with humans.) Fortunately, she wakes up and screams for help, and Ouran is driven off. Donahue then offers to try to reach the ship and fetch his crew. Moreau, seeing him depart, dispatches Ouran to strangle him.

This has an unforeseen effect, however. The beast-men no longer feel bound by Moreau's Laws, as he has himself broken one of them. Reverting to their animalistic nature, they set their huts ablaze and defy Moreau, who tries to regain control, but to no avail. In desperation, he demands of them, ""What is the Law?"" Their response is, ""Law no more!"" The beast-men drag the doctor into his House of Pain, where they bind him, screaming, to the operating table and dismember him with his own surgical knives.

With help from the disaffected Montgomery, Parker and Ruth make their escape. Parker insists they take Lota along. When Lota sees Ouran following, she waits in ambush. In the ensuing struggle, both are killed. The others escape by boat as the island goes up in flames, presumably destroying Moreau's work and eradicating the beast-men."
